region,region_code,county_name,state_fips,county_fips,fips,period,tot_provs_sign_up,tot_pcp_provs_sign_up,tot_provs_go_live,tot_pcp_provs_go_live,tot_provs_mu,tot_pcp_provs_mu
Alabama,AL,Autauga,1,1,1001,12-Apr,2,2,1,1,0,0
Alabama,AL,Baldwin,1,3,1003,12-Apr,49,46,33,30,7,7
Alabama,AL,Barbour,1,5,1005,12-Apr,4,4,2,2,1,1
Alabama,AL,Bibb,1,7,1007,12-Apr,12,12,5,5,0,0
Alabama,AL,Blount,1,9,1009,12-Apr,11,11,9,9,3,3
Alabama,AL,Bullock,1,11,1011,12-Apr,6,6,3,3,0,0
Alabama,AL,Butler,1,13,1013,12-Apr,0,0,0,0,0,0
Alabama,AL,Calhoun,1,15,1015,12-Apr,58,56,41,39,3,3
Alabama,AL,Chambers,1,17,1017,12-Apr,5,4,2,1,0,0
Alabama,AL,Cherokee,1,19,1019,12-Apr,3,3,3,3,3,3
Alabama,AL,Chilton,1,21,1021,12-Apr,3,3,2,2,0,0
Alabama,AL,Choctaw,1,23,1023,12-Apr,8,1,0,0,0,0
Alabama,AL,Clarke,1,25,1025,12-Apr,12,12,12,12,0,0
Alabama,AL,Clay,1,27,1027,12-Apr,8,8,8,8,4,4
Alabama,AL,Cleburne,1,29,1029,12-Apr,4,4,2,2,0,0
Alabama,AL,Coffee,1,31,1031,12-Apr,7,7,0,0,0,0
Alabama,AL,Colbert,1,33,1033,12-Apr,35,35,18,18,7,7
Alabama,AL,Conecuh,1,35,1035,12-Apr,6,6,6,6,0,0
Alabama,AL,Coosa,1,37,1037,12-Apr,0,0,0,0,0,0
Alabama,AL,Covington,1,39,1039,12-Apr,9,9,9,9,1,1
Alabama,AL,Crenshaw,1,41,1041,12-Apr,3,3,0,0,0,0
Alabama,AL,Cullman,1,43,1043,12-Apr,39,39,39,39,9,9
Alabama,AL,Dale,1,45,1045,12-Apr,1,1,0,0,0,0
Alabama,AL,Dallas,1,47,1047,12-Apr,8,7,7,7,0,0
Alabama,AL,DeKalb,1,49,1049,12-Apr,13,13,12,12,0,0
Alabama,AL,Elmore,1,51,1051,12-Apr,2,2,0,0,0,0
Alabama,AL,Escambia,1,53,1053,12-Apr,19,19,17,17,3,3
Alabama,AL,Etowah,1,55,1055,12-Apr,48,43,46,41,7,7
Alabama,AL,Fayette,1,57,1057,12-Apr,0,0,0,0,0,0
Alabama,AL,Franklin,1,59,1059,12-Apr,3,3,1,1,0,0
Alabama,AL,Geneva,1,61,1061,12-Apr,2,2,0,0,0,0
Alabama,AL,Greene,1,63,1063,12-Apr,7,7,4,4,0,0
Alabama,AL,Hale,1,65,1065,12-Apr,7,5,0,0,0,0
Alabama,AL,Henry,1,67,1067,12-Apr,1,1,0,0,0,0
Alabama,AL,Houston,1,69,1069,12-Apr,53,51,53,51,2,2
Alabama,AL,Jackson,1,71,1071,12-Apr,22,22,22,22,3,3
Alabama,AL,Jefferson,1,73,1073,12-Apr,159,155,93,89,34,34
Alabama,AL,Lamar,1,75,1075,12-Apr,3,3,0,0,0,0
Alabama,AL,Lauderdale,1,77,1077,12-Apr,37,34,30,29,4,3
Alabama,AL,Lawrence,1,79,1079,12-Apr,6,6,6,6,0,0
Alabama,AL,Lee,1,81,1081,12-Apr,34,34,32,32,6,6
Alabama,AL,Limestone,1,83,1083,12-Apr,17,17,14,14,3,3
Alabama,AL,Lowndes,1,85,1085,12-Apr,2,1,0,0,0,0
Alabama,AL,Macon,1,87,1087,12-Apr,4,4,0,0,0,0
Alabama,AL,Madison,1,89,1089,12-Apr,135,125,92,85,30,23
Alabama,AL,Marengo,1,91,1091,12-Apr,11,11,10,10,0,0
Alabama,AL,Marion,1,93,1093,12-Apr,6,6,5,5,1,1
Alabama,AL,Marshall,1,95,1095,12-Apr,46,46,37,37,1,1
Alabama,AL,Mobile,1,97,1097,12-Apr,217,207,119,114,0,0
Alabama,AL,Monroe,1,99,1099,12-Apr,14,14,9,9,0,0
Alabama,AL,Montgomery,1,101,1101,12-Apr,63,55,21,20,3,3
Alabama,AL,Morgan,1,103,1103,12-Apr,11,11,10,10,6,6
Alabama,AL,Perry,1,105,1105,12-Apr,8,7,0,0,0,0
Alabama,AL,Pickens,1,107,1107,12-Apr,7,7,5,5,0,0
Alabama,AL,Pike,1,109,1109,12-Apr,14,13,5,4,1,1
Alabama,AL,Randolph,1,111,1111,12-Apr,2,2,2,2,0,0
Alabama,AL,Russell,1,113,1113,12-Apr,2,2,2,2,0,0
Alabama,AL,St. Clair,1,115,1115,12-Apr,7,7,3,3,2,2
Alabama,AL,Shelby,1,117,1117,12-Apr,20,19,14,13,5,4
Alabama,AL,Sumter,1,119,1119,12-Apr,2,0,0,0,0,0
Alabama,AL,Talladega,1,121,1121,12-Apr,27,24,17,14,3,3
Alabama,AL,Tallapoosa,1,123,1123,12-Apr,0,0,0,0,0,0
Alabama,AL,Tuscaloosa,1,125,1125,12-Apr,99,86,24,24,1,1
Alabama,AL,Walker,1,127,1127,12-Apr,31,30,16,16,0,0
Alabama,AL,Washington,1,129,1129,12-Apr,4,4,3,3,0,0
Alabama,AL,Wilcox,1,131,1131,12-Apr,1,1,0,0,0,0
Alabama,AL,Winston,1,133,1133,12-Apr,8,8,5,5,0,0
Alaska,AK,Aleutians East Borough,2,13,2013,12-Apr,22,22,0,0,0,0
Alaska,AK,Aleutians West Census Area,2,16,2016,12-Apr,32,30,8,7,0,0
Alaska,AK,Anchorage Municipality,2,20,2020,12-Apr,342,321,127,124,33,33
Alaska,AK,Bethel Census Area,2,50,2050,12-Apr,199,199,0,0,0,0
Alaska,AK,Bristol Bay Borough,2,60,2060,12-Apr,9,9,0,0,0,0
Alaska,AK,Denali Borough,2,68,2068,12-Apr,1,1,0,0,0,0
Alaska,AK,Dillingham Census Area,2,70,2070,12-Apr,33,32,0,0,0,0
Alaska,AK,Fairbanks North Star Borough,2,90,2090,12-Apr,94,83,61,53,3,3
Alaska,AK,Haines Borough,2,100,2100,12-Apr,4,4,0,0,0,0
Alaska,AK,Hoonah-Angoon Census Area,2,105,2105,12-Apr,NA,NA,NA,NA,NA,NA
Alaska,AK,Juneau City and Borough,2,110,2110,12-Apr,66,63,33,32,5,5
Alaska,AK,Kenai Peninsula Borough,2,122,2122,12-Apr,53,52,26,25,5,5
Alaska,AK,Ketchikan Gateway Borough,2,130,2130,12-Apr,11,11,0,0,0,0
Alaska,AK,Kodiak Island Borough,2,150,2150,12-Apr,19,19,6,6,0,0
Alaska,AK,Lake and Peninsula Borough,2,164,2164,12-Apr,25,25,0,0,0,0
Alaska,AK,Matanuska-Susitna Borough,2,170,2170,12-Apr,55,55,25,25,1,1
Alaska,AK,Nome Census Area,2,180,2180,12-Apr,86,84,1,1,0,0
Alaska,AK,North Slope Borough,2,185,2185,12-Apr,38,38,0,0,0,0
Alaska,AK,Northwest Arctic Borough,2,188,2188,12-Apr,47,47,0,0,0,0
Alaska,AK,Petersburg Census Area,2,195,2195,12-Apr,NA,NA,NA,NA,NA,NA
Alaska,AK,Prince of Wales-Hyder Census Area,2,198,2198,12-Apr,NA,NA,NA,NA,NA,NA
Alaska,AK,Sitka City and Borough,2,220,2220,12-Apr,44,34,0,0,0,0
Alaska,AK,Skagway Municipality,2,230,2230,12-Apr,0,0,0,0,0,0
Alaska,AK,Southeast Fairbanks Census Area,2,240,2240,12-Apr,15,15,0,0,0,0
Alaska,AK,Valdez-Cordova Census Area,2,261,2261,12-Apr,28,27,5,5,0,0
Alaska,AK,Wade Hampton Census Area,2,270,2270,12-Apr,57,57,0,0,0,0
Alaska,AK,Wrangell City and Borough,2,275,2275,12-Apr,NA,NA,NA,NA,NA,NA
Alaska,AK,Yakutat City and Borough,2,282,2282,12-Apr,0,0,0,0,0,0
Alaska,AK,Yukon-Koyukuk Census Area,2,290,2290,12-Apr,75,74,0,0,0,0
Arizona,AZ,Apache,4,1,4001,12-Apr,113,104,101,95,0,0
Arizona,AZ,Cochise,4,3,4003,12-Apr,87,67,54,48,2,2
